"","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","Store_Type","Week_type","Super_Bowl","Labour_day","Thanksgiving","Christmas"
"1",14.2947786579149,1,3.65091794782682,2.548,5.35300519951482,7.838,"03","02",0,0,0,0
"2",14.2929664561962,0,3.68712792107513,2.514,5.35322754090719,7.838,"03","02",0,0,0,0
"3",14.2568617743235,0,3.83945231259331,2.625,5.35351620314221,7.838,"03","02",0,0,0,0
"4",14.1798352805934,0,4.05681575032969,2.667,5.35366050301853,7.838,"03","01",0,0,0,0
"5",14.1551420275211,0,3.94061046228006,2.732,5.35194363882512,7.838,"03","01",0,0,0,0
"6",14.282364406856,0,4.13147976888436,2.719,5.35100682287277,7.808,"03","02",0,0,0,0
"7",14.2508053248329,0,4.18753127694822,2.77,5.35006912847328,7.808,"03","02",0,0,0,0
"8",14.145717580484,0,4.17192269686748,2.795,5.34919640844487,7.808,"03","01",0,0,0,0
"9",14.2879830869673,0,4.2842759793302,2.835,5.34872511885891,7.808,"03","02",0,0,0,0
"10",14.2171359705341,0,4.31455046954897,2.854,5.3487130321624,7.808,"03","01",0,0,0,0
"11",14.1517413868776,0,4.33650611937207,2.826,5.35004176164832,7.808,"03","01",0,0,0,0
"12",14.1746314730751,0,4.38751156490445,2.759,5.35136872748056,7.808,"03","01",0,0,0,0
"13",14.2947786579149,0,4.39061465186041,2.705,5.3526939348077,7.808,"03","02",0,0,0,0
"14",14.1680751861169,0,4.43485624831841,2.653,5.3534618354839,7.808,"03","01",0,0,0,0
"15",14.2159082751735,0,4.39333742581975,2.669,5.35291697223447,7.787,"03","01",0,0,0,0
"16",14.2512294888672,0,4.38800870635143,2.642,5.35237181194723,7.787,"03","02",0,0,0,0
"17",14.1863420672052,0,4.42064620563894,2.623,5.35233378052764,7.787,"03","01",0,0,0,0
"18",14.1412577723078,0,4.42316857800506,2.608,5.35297194092428,7.787,"03","01",0,0,0,0
"19",14.1317703204564,0,4.40476612164337,2.64,5.35360969433193,7.787,"03","01",0,0,0,0
"20",14.2264524809046,0,4.46590811865458,2.692,5.35488398272695,7.787,"03","02",0,0,0,0
"21",14.2473991570639,0,4.39703839229432,2.577,5.35437273178127,7.787,"03","02",0,0,0,0
